,Date,Time,Location,Store,Address
0,11 Jun,0500h to 1800h,115 Bukit Merah View Market & Hawker Centre ,,115 Bukit Merah View
1,11 Jun,0600h to 0900h,ION Orchard ,,2 Orchard Turn
2,11 Jun,0600h to 1500h,115 Bukit Merah View Market & Hawker Centre ,,115 Bukit Merah View
3,11 Jun,0630h to 1230h,Tiong Bahru Yong Tao Hu ,,56 Eng Hoon Street
4,11 Jun,0800h to 1400h,115 Bukit Merah View Market & Hawker Centre ,,115 Bukit Merah View
5,11 to 12 Jun,0830h to 1430h,115 Bukit Merah View Market & Hawker Centre ,,115 Bukit Merah View
6,11 Jun,0930h to 1430h,115 Bukit Merah View Market & Hawker Centre ,,115 Bukit Merah View
7,11 Jun,1000h to 1735h,Katong Shopping Centre ,Union United Employment Pte Ltd,865 Mountbatten Road
8,11 Jun,1000h to 1930h,Telok Blangah Food Centre ,Al-barakah Food Corner,79 Telok Blangah Drive
9,11 Jun,1030h to 1900h,ION Orchard ,,2 Orchard Turn
10,11 Jun,1100h to 1130h,115 Bukit Merah View Market & Hawker Centre ,,115 Bukit Merah View
11,11 Jun,1105h to 1140h,Chinatown Complex ,Wet Market,335 Smith Street
12,11 Jun,1110h to 1145h,ARTRA ,FairPrice Finest,12 Alexandra View
13,11 Jun,1140h to 1215h,Chinatown Complex ,myCK – Chinatown,336 Smith Street
14,11 Jun,1230h to 1335h,NTUC FairPrice ,,166 Bukit Merah Central
15,11 Jun,1235h to 1335h,NTUC FairPrice ,,166 Bukit Merah Central
16,11 Jun,1325h to 1520h,Hing Show Nails ,,82 Marine Parade Central
17,11 Jun,1450h to 1700h,Northpoint City ,,930 Yishun Avenue 2
18,11 Jun,1610h to 1645h,The Clementi Mall ,,3155 Commonwealth Avenue West
19,11 Jun,1700h to 2100h,115 Bukit Merah View Market & Hawker Centre ,,115 Bukit Merah View
20,11 Jun,1730h to 1930h,Katong V Mall ,FairPrice Finest,30 East Coast Road
21,11 Jun,1930h to 2000h,Katong Shopping Centre ,Union United Employment Pte Ltd,865 Mountbatten Road
22,12 Jun,0500h to 0530h,115 Bukit Merah View Market & Hawker Centre ,,115 Bukit Merah View
23,12 Jun,0600h to 1700h,Tiong Bahru Yong Tao Hu ,,56 Eng Hoon Street
24,12 Jun,0630h to 1115h,Tiong Bahru Yong Tao Hu ,,56 Eng Hoon Street
25,12 Jun,0630h to 1700h,Tiong Bahru Yong Tao Hu ,,56 Eng Hoon Street
26,12 Jun,0915h to 0945h,Kim San Leng Coffee Shop ,,116 Bukit Merah View
27,12 Jun,0930h to 1430h,115 Bukit Merah View Market & Hawker Centre ,,115 Bukit Merah View
28,12 Jun,1000h to 1930h,Telok Blangah Food Centre ,Al-barakah Food Corner,79 Telok Blangah Drive
29,12 Jun,1000h to 2000h,Katong Shopping Centre ,Union United Employment Pte Ltd,865 Mountbatten Road
